symbol,reason
BABA,中国业务/中概 ADR
BILI,中国业务/中概 ADR
PDD,中国业务/中概 ADR
JD,中国业务/中概 ADR
BIDU,中国业务/中概 ADR
NIO,中国业务/中概 ADR
XPEV,中国业务/中概 ADR
LI,中国业务/中概 ADR
NTES,中国业务/中概 ADR
TME,中国业务/中概 ADR
TCOM,中国业务/中概 ADR
YUMC,中国业务/中概股
ZTO,中国业务/中概 ADR
BEKE,中国业务/中概 ADR
FUTU,中国业务/中概股
TIGR,中国业务/中概 ADR
TAL,中国业务/中概 ADR
EDU,中国业务/中概 ADR
GOTU,中国业务/中概 ADR
VIPS,中国业务/中概 ADR
WB,中国业务/中概 ADR
MNSO,中国业务/中概 ADR
QFIN,中国业务/中概 ADR
FINV,中国业务/中概 ADR
LU,中国业务/中概 ADR
HTHT,中国业务/中概 ADR
HSAI,中国业务/中概 ADR
GDS,中国业务/中概 ADR
BZ,中国业务/中概 ADR
ATHM,中国业务/中概 ADR
DOYU,中国业务/中概 ADR
HUYA,中国业务/中概 ADR
IQ,中国业务/中概 ADR
MOMO,中国业务/中概 ADR
YMM,中国业务/中概 ADR
DQ,中国业务/中概 ADR
CAN,中国业务/中概 ADR
KC,中国业务/中概 ADR
TUYA,中国业务/中概 ADR
RLX,中国业务/中概 ADR
ZH,中国业务/中概 ADR
DDL,中国业务/中概 ADR
DAO,中国业务/中概 ADR
API,中国业务/中概 ADR
PONY,中国业务/中概 ADR
WRD,中国业务/中概 ADR
JKS,中国业务/中概 ADR
CSIQ,中国业务占主导
DADA,中国业务/中概 ADR
SY,中国业务/中概 ADR
YY,中国业务/中概 ADR
EH,中国业务/中概 ADR
NIU,中国业务/中概 ADR
VNET,中国业务/中概 ADR
NOAH,中国业务/中概 ADR
WDH,中国业务/中概 ADR
OCFT,中国业务/中概 ADR
XYF,中国业务/中概 ADR
ATAT,中国业务/中概 ADR
ZK,中国业务/中概 ADR
ECX,中国业务/中概 ADR
LOT,中国业务/中概 ADR
HOLO,中国业务/中概股
PGJ,中国股票主题 ETF
KWEB,中国股票主题 ETF
MCHI,中国股票主题 ETF
FXI,中国股票主题 ETF
CQQQ,中国股票主题 ETF
ASHR,中国股票主题 ETF
CHIQ,中国股票主题 ETF
GXC,中国股票主题 ETF
KBA,中国股票主题 ETF
CNXT,中国股票主题 ETF
CXSE,中国股票主题 ETF
CNYA,中国股票主题 ETF
FLCH,中国股票主题 ETF
