symbol,security_type,sector,leader_tier,country_status,note
NVDA,STK,信息技术,1,美国,半导体核心龙头
AAPL,STK,信息技术,1,美国,硬件核心龙头
MSFT,STK,信息技术,1,美国,软件与云核心龙头
AVGO,STK,信息技术,1,美国,半导体核心龙头
ORCL,STK,信息技术,2,美国,企业软件优质二线
CRM,STK,信息技术,2,美国,企业软件优质二线
AMD,STK,信息技术,2,美国,半导体优质二线
MU,STK,信息技术,2,美国,存储龙头信号标的
AMAT,STK,信息技术,2,美国,半导体设备优质二线
LRCX,STK,信息技术,2,美国,半导体设备优质二线
CSCO,STK,信息技术,2,美国,网络设备优质二线
TSM,STK,信息技术,1,明确非中国,台湾地区半导体制造核心龙头
ASML,STK,信息技术,1,明确非中国,荷兰半导体设备核心龙头
SAP,STK,信息技术,2,明确非中国,德国企业软件优质龙头
ARM,STK,信息技术,2,明确非中国,英国芯片架构优质龙头
SHOP,STK,信息技术,2,明确非中国,加拿大电商软件优质龙头
META,STK,通信服务,1,美国,互联网平台核心龙头
GOOGL,STK,通信服务,1,美国,搜索与云核心龙头
NFLX,STK,通信服务,2,美国,流媒体优质二线
DIS,STK,通信服务,2,美国,媒体优质二线
TMUS,STK,通信服务,2,美国,通信运营优质二线
SONY,STK,通信服务,2,明确非中国,日本娱乐与电子优质龙头
RELX,STK,通信服务,2,明确非中国,英国信息服务优质龙头
AMZN,STK,可选消费,1,美国,电商与云核心龙头
TSLA,STK,可选消费,1,美国,电动车核心龙头
HD,STK,可选消费,2,美国,家装零售优质二线
MCD,STK,可选消费,2,美国,餐饮优质二线
BKNG,STK,可选消费,2,美国,在线旅游优质二线
LOW,STK,可选消费,2,美国,家装零售优质二线
TM,STK,可选消费,1,明确非中国,日本汽车核心龙头
MELI,STK,可选消费,1,明确非中国,拉美电商与金融科技核心龙头
SE,STK,可选消费,2,明确非中国,新加坡互联网消费优质龙头
GRAB,STK,可选消费,2,明确非中国,新加坡出行与本地生活优质龙头
WMT,STK,日常消费,1,美国,综合零售核心龙头
COST,STK,日常消费,1,美国,会员零售核心龙头
PG,STK,日常消费,1,美国,日用品核心龙头
KO,STK,日常消费,2,美国,饮料优质二线
PEP,STK,日常消费,2,美国,食品饮料优质二线
PM,STK,日常消费,2,美国,烟草优质二线
UL,STK,日常消费,2,明确非中国,英国日用消费优质龙头
LLY,STK,医疗保健,1,美国,制药核心龙头
UNH,STK,医疗保健,1,美国,管理式医疗核心龙头
JNJ,STK,医疗保健,1,美国,综合医疗核心龙头
ABBV,STK,医疗保健,2,美国,制药优质二线
MRK,STK,医疗保健,2,美国,制药优质二线
TMO,STK,医疗保健,2,美国,生命科学工具优质二线
ISRG,STK,医疗保健,2,美国,医疗器械优质二线
NVO,STK,医疗保健,1,明确非中国,丹麦制药核心龙头
AZN,STK,医疗保健,2,明确非中国,英国制药优质龙头
NVS,STK,医疗保健,2,明确非中国,瑞士制药优质龙头
GSK,STK,医疗保健,2,明确非中国,英国制药优质龙头
JPM,STK,金融,1,美国,银行核心龙头
BAC,STK,金融,1,美国,银行核心龙头
V,STK,金融,1,美国,支付核心龙头
MA,STK,金融,1,美国,支付核心龙头
GS,STK,金融,2,美国,投行优质二线
MS,STK,金融,2,美国,投行优质二线
BRK.B,STK,金融,2,美国,多元金融优质二线
BLK,STK,金融,2,美国,资管优质二线
RY,STK,金融,2,明确非中国,加拿大银行优质龙头
TD,STK,金融,2,明确非中国,加拿大银行优质龙头
MFG,STK,金融,2,明确非中国,日本银行优质龙头
XOM,STK,能源,1,美国,综合能源核心龙头
CVX,STK,能源,1,美国,综合能源核心龙头
COP,STK,能源,2,美国,上游能源优质二线
SLB,STK,能源,2,明确非中国,油服优质二线；人工复核为非中概外国注册发行人
EOG,STK,能源,2,美国,上游能源优质二线
SHEL,STK,能源,1,明确非中国,英国综合能源核心龙头
TTE,STK,能源,2,明确非中国,法国综合能源优质龙头
GE,STK,工业,1,美国,航空工业核心龙头
CAT,STK,工业,1,美国,工程机械核心龙头
RTX,STK,工业,1,美国,航空航天核心龙头
HON,STK,工业,2,美国,综合工业优质二线
UNP,STK,工业,2,美国,铁路优质二线
DE,STK,工业,2,美国,农业机械优质二线
ETN,STK,工业,2,明确非中国,电气设备优质二线；人工复核为非中概外国注册发行人
CNI,STK,工业,2,明确非中国,加拿大铁路优质龙头
CP,STK,工业,2,明确非中国,加拿大铁路优质龙头
NEE,STK,公用事业,1,美国,电力核心龙头
SO,STK,公用事业,1,美国,电力核心龙头
DUK,STK,公用事业,2,美国,电力优质二线
CEG,STK,公用事业,2,美国,发电优质二线
AEP,STK,公用事业,2,美国,电力优质二线
LIN,STK,原材料,1,明确非中国,工业气体核心龙头
SHW,STK,原材料,1,美国,涂料核心龙头
FCX,STK,原材料,2,美国,铜矿优质二线
NEM,STK,原材料,2,美国,黄金矿业优质二线
APD,STK,原材料,2,美国,工业气体优质二线
RIO,STK,原材料,1,明确非中国,英澳矿业核心龙头
BHP,STK,原材料,1,明确非中国,澳大利亚矿业核心龙头
